endereco;descricao;area_m2;quartos;banheiros;vagas_garagem;valor_imovel;valor_condominio;valor_iptu;link;bairro;cidade
Não informado;Cobertura 3 suítes com vista para o Bosque Maia- Guarulhos - SP  Apartamento com sala em dois ambientes, escritório, três suítes, cozinha com planejados, dormitório e banheiro para empregados, varanda com vista e três vagas de garagem coberta. ótima localização próximo ao centro da cidade com acesso aos melhores pontos de comércios, condômino oferece Academia, Churrasqueira Gourmet, Cozinha Gourmet, Elevador, Espaço Gourmet, Garagem, Garagem Coberta, Guarita, Piscina, Playground, Portaria 12Hrs, Portaria 24Hrs, Portaria/Catraca.  Agende sua visita!;132;1;2;3;1200000;989;307;https://www.zapimoveis.com.br/imovel/venda-cobertura-1-quarto-vila-progresso-guarulhos-sp-132m2-id-2645674600/;Vila Progresso; Guarulhos
Rua Marechal José Bernardino Bormann;Encantador apartamento à venda, com localização privilegiada no Bairro Bigorrilho. Situado em um andar alto, o imóvel oferece vista panorâmica, muita iluminaçaõ natural e uma atmosfera tranquila.  Este imóvel de 89,56 metros privativos, conta com 2 quartos espaçosos. A suíte é especialmente destacada, com um generoso closet, proporcionando conforto e organização. Além disso, oferece uma ampla sala para dois ambientes, uma charmosa sacada e uma cozinha completa, com bastante espaço e armários embutidos.  Com todo o conforto e comodidade, este apartamento está pronto para morar.  A localização no Bairro Bigorrilho oferece ampla gama de comodidades, como restaurantes, lojas e serviços, além de fácil acesso a áreas verdes e de lazer, como o Parque Barigui.  Agende uma visita!  casaquattro  |   * Valores e disponibilidade podem ser alterados sem aviso prévio. -;90;2;2;1;685000;789;178;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-bigorrilho-curitiba-pr-90m2-id-2640194533/;Bigorrilho; Curitiba
Não informado;"Ao lado do Anchieta Garden Shopping em rua plana e tranquila. Apartamento de 3 Quartos todos com armários; Sala para 2 espaços ambientes; Cozinha clara e arejada; Dependência completa. Vaga livre e coberta. Edifício com elevador e espaço de convivência.";100;3;3;1;710000;670;275;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-anchieta-belo-horizonte-mg-100m2-id-2549835954/;Anchieta; Belo Horizonte
Rua Jorge Pires Cardoso;"Lotes em Vargem Grande Paulista, a partir de 360m², medidas 12x30 topografia dos terrenos PLANOS prontos para construir. Com toda infra estrutura pronta!  Lazer Salão de festas; Fitness; Spa center; Futebol socity; Futvolei; Churrasqueira; Playground; Estação de ginástica; Pista de Cooper; Trilha para caminhada; Redária; Pergolada; Praça de leitura; Praça do Bosque;  Segurança Portaria com controle de acesso de proprietários e visitantes 24 horas; Empreendimento totalmente cercado e protegido. Ronda 24 horas.  Valores a partir de: Uma entrada de R$14.700,00 e saldo em até 240 parcelas de R$ 959,58. Valor total á vista R$ 245.000,00.  Ótima oportunidade de realizar seu sonho de ter seu próprio imóvel!";360;0;0;0;14700;235;60;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-churrasqueira-casa-blanca-vargem-grande-paulista-sp-360m2-id-2559207591/;Casa Blanca; Vargem Grande Paulista
Não informado;-Sala para 02 ambientes com sacada de frente -02 Amplo apartamentos (sendo 01 suite)  -03 W.C'S -Área de serviço  Mais informações em www.solemarimoveisguaruja.com;100;2;3;0;320000;1400;410;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-enseada-guaruja-sp-100m2-id-2645570805/;Enseada; Guarujá
Não informado;▪️ Sala ▪️ 02 Dormitórios  ▪️ W.C Social  ▪️ Cozinha Americana ▪️ Área de Serviço   → Prédio com Piscina, Vaga Livre.  Mais informações em www.solemarimoveisguaruja.com;60;2;1;1;290000;850;280;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-enseada-guaruja-sp-60m2-id-2645571932/;Enseada; Guarujá
Não informado;Sala 02 ambientes c/ sacada gourmet  02 Dormitórios (s/01 suíte)  W.C social  Cozinha americana Área de serviço   Mais informações em www.solemarimoveisguaruja.com;80;2;2;2;500000;1000;300;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-enseada-guaruja-sp-80m2-id-2645568648/;Enseada; Guarujá
Não informado;▪️ Ampla Sala 02 ambientes C/ Sacada ▪️ 03 suítes + suíte de empregada ▪️ Lavabo ▪️ Cozinha ▪️ Área de serviço  Mais informações em www.solemarimoveisguaruja.com;150;4;6;1;440000;1629;543;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-enseada-guaruja-sp-150m2-id-2645574662/;Enseada; Guarujá
Rua Pernambuco;Salas disponíveis para venda, são 2 salas conjugadas, ótimas para escritório, na região central. Com 1 vaga de garagem;139;0;3;1;550000;550;0;https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-armario-embutido-centro-londrina-pr-139m2-id-2645319630/;Centro; Londrina
Rua Itacema;- Distribuição: HALL LIVING 2 AMBS, TERRACO, HD 3 DTS SENDO 1 ST, B. SOCIAL, LAVABO, COPA COZINHA, AE, AS, QE, WC...;180;3;1;1;2120000;0;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-itaim-bibi-zona-sul-sao-paulo-sp-180m2-id-2644444061/;Itaim Bibi; São Paulo
Não informado;▪️ Sala 02 ambientes ▪️ 02 Dormitórios + reversível  ▪️ WC Social  ▪️ WC Serviço  ▪️ Cozinha ▪️ Área de serviço  Mais informações em www.solemarimoveisguaruja.com;80;3;2;1;320000;1000;410;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-enseada-guaruja-sp-80m2-id-2645571013/;Enseada; Guarujá
Alameda Pica-Pau;Muito prazer em atendê-lo (a).  🔸Residencial Dunnas Atibaia 🏝️🔸  Temos lotes com excelentes topografias e com vistas incríveis.  🔹 Fácil acesso pela Fernão Dias, Km 39.  🔹Prox aos principais Restaurantes da região, ( Frango D'água , Costelão Fogo de Chão, Pizzaria e Sorveterias.  🔹Playground  🔹Área de app dentro do empreendimento.  🔹Lotes com vista pra área verde.  🔹Ótimas topografias.  🔹2.5 km do asfalto.  🔹15 minutos do Centro de Atibaia.  🔹Lotes a partir de R$ 60.000,00 a vista ou modo parcelado, sendo entrada mínima de R$ 20.000,00 e saldo devedor em 36x, 48x e 60x.  Entre em contato conosco pelo número;500;0;0;0;60000;1;1;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-paraiso-da-usina-atibaia-sp-500m2-id-2645254855/;Jardim Paraíso da Usina; Atibaia
Não informado;"Sala 02 ambientes c/ sacada; 02 Dormitórios sendo 01 suíte; W.C social;  Cozinha americana; Área de serviço;  Mais informações em www.solemarimoveisguaruja.com";75;2;2;1;410000;980;316;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-enseada-guaruja-sp-75m2-id-2645570843/;Enseada; Guarujá
Rua Doutor Ângelo Vita;APARTAMENTO À VENDA NO TATUAPÉ, 3 DORMITÓRIOS, 1 SUÍTE. 1 VAGA DE GARAGEM + DEPÓSITO PRIVATIVO. LAZER COMPLETO COM PISCINA ADULTO E INFANTIL, PET PLACE, ESPAÇO GOURMET. LOCALIZADO À 20M DO METRÔ CARRÃO, 600M DO PARQUE DO TATUAPÉ, 8 MIN DO SHOPPING BOULEVARD.  84 m², 3 dormitórios sendo 1 suíte. Sala com 2 ambientes, sala de jantar e tv integrada a varanda gourmet com churrasqueira. 2 banheiros com iluminação e ventilação natural. Cozinha americana com bastante espaço para armários + área de serviço.  Com direito à 1 vaga de garagem + depósito privativo.  Lazer completo com salão de jogos, salão de festas, espaço gourmet, churrasqueira, fitness, brinquedoteca, piscina adulto e infantil, quadra poliesportiva, pet place, playground.  Localizado à 20m do Metrô Carrão, 200m do Pomar da Vila, 600m do Parque do Tatuapé, 2 min. da Padaria Poesia, 8 min. do Shopping Boulevard. Região com infraestrutura completa, incluindo rede bancária, restaurantes, supermercados, farmácias, escolas, etc.   As informações estão sujeitas a alterações. Consulte o corretor responsável. Fotos ilustrativas.   MONTREAL BUSINESS  CRECI - 30023 J;84;3;2;1;744500;520;300;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-tatuape-zona-leste-sao-paulo-sp-84m2-id-2567224303/;Vila Zilda (Tatuapé); São Paulo
Não informado;Apartamento com vista mar no Canto do Forte, em Praia Grande.  O imóvel possui 110m² de área útil, bem distribuídos em varanda gourmet de frente para a praia, ampla sala para 2 ambientes, cozinha com copa, área de serviço com banheiro, 2 dormitórios (transformados), sendo 1 suíte, 1 banheiro social e 2 vagas de garagem.  O edifício oferece uma ampla infraestrutura e área de lazer com piscina, academia, salão de jogos, playground, 3 andares de garagem, portaria 24 horas, portão eletrônico, serviço de zeladoria e a localização é privilegiada, de frente para o mar e próximo de todos os comércios do bairro mais procurado da cidade.  Avaliado pagamento à vista e aceita financiamento bancário.  Não perca esta incrível oportunidade de morar de frente para o mar!!! -;110;2;3;2;1100000;1000;450;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-canto-do-forte-praia-grande-sp-110m2-id-2625273746/;Canto do Forte; Praia Grande
Não informado;"Excelente sobrado para venda em Condomínio fechado em Sousas!! - Imóvel: Garagem para 04 veículos, sendo 02 vagas cobertas e 02 descobertas e escritório;  Hall de entrada e escada para a Sala 02 ambientes com sacada grande e com linda vista, Saleta, Lavado/banheiro completo, Escritório/sala de TV, Cozinha com modernos armários, Copa/sala com vista para o jardim e Área de serviço coberta; Quintal amplo, gramado e plantas, Espaço gourmet amplo com churrasqueira e forno de pizza e 01 suíte para hóspedes; No piso superior tem uma sala; 03 dormitórios, sendo 01 suíte (sacada e armários em todos os dormitórios) e banheiro social.  - Condomínio localizado em Sousas próximo a vias de acesso como avenida Mackenzie e rodovia D Pedro; e ao Centro de Sousas com agências bancárias, supermercados, farmácias, escolas, casa lotérica, lojas, papelarias, bares, padarias e várias linhas de ônibus. Condomínio arborizado e com segurança e portaria 24 horas; quadras poliesportivas; quadra de beach tênis; praças com playground e áreas de preservação interna. Na portaria do condomínio tem ponto de ônibus com 3 linhas do município de Campinas. O condomínio se disponibiliza de ônibus circular interno gratuito para os moradores, visitantes e funcionários das residências.  - Agende sua visita com nossos corretores pelos F: /. -";378;3;4;4;1280000;662;621;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-loteamento-caminhos-de-sao-conrado-sousas-campinas-sp-378m2-id-2625057015/;Loteamento Caminhos de São Conrado (Sousas); Campinas
Avenida Doutor Guilherme Dumont Vilares;Nesta linda cobertura duplex de 147 m² com 3 vagas de garagem e depósito, localizada no Condomínio L’Avance na Vila Andrade, aqui você e sua família irão passar momentos memoráveis com amigos e familiares. Com ambientes bem iluminados e sol durante todo o dia, surpreenda-se com esta cobertura onde ao entrar, você se depara com uma sala de dois ambientes, cozinha americana que permite interação com a família, que possui armários e uma bela ilha, além de um depurador. A varanda coberta é equipada com uma piscina, um deck e uma churrasqueira, oferecendo uma vista deslumbrante e permitindo momentos agradáveis com a família, seja aproveitando a piscina ao sol ou fazendo um churrasco. No andar superior, é possível acessar através de uma linda escada com degraus em madeira e corrimões de ferro que apresentam desenhos encantadores. Nesse andar, encontram-se dois dormitórios com armários e uma ampla suíte com closet, todos equipados com ar condicionado para garantir noites de descanso merecidas. O condomínio conta com dois salões de festas totalmente equipados, ideais para celebrar eventos especiais. Além disso, dispõe de um bicicletário para quem gosta de pedalar, um mini mercado interno para maior comodidade dos moradores, um belo jardim para apreciar a natureza e vagas para visitantes. Para a conveniência dos moradores, há uma vaga específica para lavar o veículo, e caso você possua um carro elétrico, existe uma vaga reservada para carregá-lo com tranquilidade. Também pensamos no bem-estar dos animais de estimação, com um espaço pet que inclui bancada e pia, além de um pet place dedicado ao seu melhor amigo, proporcionando uma combinação perfeita entre utilidade e prazer. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.;146;3;2;3;970000;1400;456;https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-vila-andrade-zona-sul-sao-paulo-sp-146m2-id-2644992756/;Jardim Londrina; São Paulo
Rua Gustavo Magalhães;"Lindo Apartamento no Jd. Faculdade em Sorocaba, com 115m e 2 vagas cobertas com 20,70m Excelente oportunidade com preço a baixo da avaliação.  Aceita Financiamento. Belíssimo apartamento com uma localização maravilhosa!!! - 3 suítes; (os banheiros das 3 suítes tem água quente e fria, duas suítes tem ar condicionado quente e frio) - 3 varandas com tela de proteção; -5 banheiros - Chuveiros e torneiras a gás; - Câmera de segurança na sala; - Suíte máster com closet, banheira e bancada com duas cubas; - Salas amplas com dois ambientes; - Cozinha com móveis planejados, fogão de mesa e coifa; - Todos os móveis são de ótima qualidade, novos; - Apartamento finamente decorado, papel de parede na sala, sala de jantar e lavabo; - Muitos moradores idosos, médicos e etc.. local seguro e tranquilo; - Duas vagas de garagem;  CONDOMÍNIO: Área de lazer com piscina, churrasqueira na cobertura com uma vista incrível. -Elevador panorâmico e elevador de serviço;  ENTORNO DO IMÓVEL: Próximo ao centro da cidade, hospitais, universidades, hipermercados, escolas, todo tipo de comércio, bancos, farmácias e muito mais. Link do imóvel no site da imobiliária: http://www.dealimoveis.com.br/imovel/1447728-apartamento+venda+edificio+green+tower+3+suites?origem=I";115;3;5;2;750000;994;114;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-jardim-faculdade-sorocaba-sp-115m2-id-2644942273/;Jardim Faculdade; Sorocaba
Rua Uruguaiana;Apartamento para venda no Bosque em Campinas - Ao lado do Colégio Ave Maria Amplo living para 2 ambientes, 2 + 1 quartos ricos em armários, banheiro social, cozinha planejada, área de serviços. Garagem coberta. Lazer com salão de festas. (projeto para academia). À poucas quadras da Av. Aquidabã, fácil acesso para Viracopos, Centro da cidade e Cambuí.  ;93;3;2;1;410000;715;91;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-armario-de-cozinha-bosque-campinas-sp-93m2-id-2645051709/;Bosque; Campinas
Rua Antonio Alves Magalhães;"Área terreno 250m² Área construída 220m² São 3 suítes, sendo 1 master com closet; Cozinha ampla em conceito aberto; Sala 2 ambientes com integração à área gourmet; Escritório; Lavabo; Espaço Gourmet com churrasqueira; Piscina com iluminação; WC externo; Aquecedor solar; Infraestrutura para ar condicionado; 4 vagas de garagem, sendo 2 cobertas; Características do Condomínio: O condomínio Floradas da Serra oferece segurança, lazer e muita qualidade de vida! Próximo ao Parque Ribeirão Vermelho, supermercados, padarias, escolas, farmácias, hospitais, restaurantes, entretenimento, etc... Há apenas 10 minutos do centro da cidade e fácil acesso às Rodovias Presidente Dutra, Tamoios e Carvalho Pinto; *Aceita Financiamento";220;3;4;4;1950000;550;2500;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-urbanova-v-sao-jose-dos-campos-sp-220m2-id-2645052922/;Urbanova V; São José dos Campos
Rua Juan Vicente;Apto de 55m² condomínio São Cristóvão Osasco com 2 dormitórios sendo 1 c/ Planejados e 1 com modulados, sala de 2 ambientes, cozinha com Armários planejados e banheiro   Condomínio com lazer, playground 3 quadras, 2 quiosques com churrasqueiras, supermercado, padaria, banca de jornal , pizzaria, salão de cabeleireiro, academia, escola, lanchonete/restaurantes, bazar, loja de cosmética, pet shop, consultório dentário, drogaria, lava rápido e muito mais.  ;55;2;1;1;245000;300;150;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-bandeiras-osasco-sp-55m2-id-2645175854/;Bandeiras; Osasco
Rua Francisco José da Silva;A VIDA É GENEROSA E SEMPRE NOS PRESENTEIA COM COISAS BOAS O Arboris Morumbi é um desses presentes. Em um amplo terreno de 3.329,50m², nasce um empreendimento feito para proporcionar mais conforto, qualidade de vida e alegria para sua família e amigos.  Com muito lazer e conforto, oferece piscina adulto com raia, fitness, quadra recreativa, espaço churrasqueira e forno de pizza, áreas para as crianças se divertirem e muito mais.  Localizado em uma rua tranquila, em um bairro que oferece uma ampla infraestrutura, serviços e mobilidade como shoppings, supermercados, gastronomia, parques, escolas e tudo o que você precisa!  Você merece esse presente!  Fale conosco: -;48;2;1;1;408200;600;150;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-morumbi-zona-sul-sao-paulo-sp-48m2-id-2645170759/;Vila Andrade; São Paulo
Rua São Paulo;Está buscando o apartamento dos seus sonhos? Temos a opção perfeita para você! Apresentamos um espaçoso apartamento com 4 quartos, incluindo uma suíte, totalizando 140 metros quadrados de área. Essa incrível propriedade está localizada em uma região privilegiada, próxima ao mar, proporcionando uma atmosfera tranquila e uma vista deslumbrante.  O apartamento foi cuidadosamente projetado para oferecer conforto e funcionalidade. Com seus 4 quartos, há espaço suficiente para acomodar toda a sua família e convidados. A suíte principal é o refúgio perfeito, com seu próprio banheiro privativo.  Além disso, esse apartamento oferece um lazer completo para os moradores desfrutarem. Você terá acesso a diversas comodidades, como piscina, academia, salão de festas, área de churrasco e muito mais. Tudo isso projetado para proporcionar momentos de diversão e relaxamento sem precisar sair de casa.  A localização é outro destaque dessa incrível propriedade. Situado em uma área próxima ao mar, você poderá desfrutar de belas praias, caminhadas à beira-mar e aproveitar o clima agradável da região.  Não perca a oportunidade de adquirir esse maravilhoso apartamento de 4 quartos com 1 suíte, 140 metros quadrados e lazer completo. Entre em contato conosco agora mesmo para agendar uma visita e conhecer pessoalmente essa excelente opção. Venha viver com conforto, qualidade de vida e perto do mar!  CÓD. ANÚNCIO: AP02069  Sem dúvidas não ficará disponível por muito tempo, agende uma visita com nossa equipe de vendas!   Entre em contato para mais informações  (com WhatsApp!)  Ética, Compromisso e Profissionalismo. Imovi Consultoria Imobiliária - CRECI 7219-J www.imoviimobiliaria.com.br  Fale conosco: -;140;4;3;3;1300000;550;1000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-praia-da-costa-vila-velha-es-140m2-id-2645165907/;Praia da Costa; Vila Velha
Alameda Jauaperi;"Triplex Cobertura - Mobiliada - Alto Padrão  370 m² Total 370 m² Útil 6 Banheiros 3 Vagas 4 Quartos 4 Suítes 30 Idade do imóvel   Cobertura Tríplex ""PRONTO para Morar"" a venda em Moema - 370m² - Ao lado do Shopping Ibirapuera e Metrô.  A cobertura esta ""mobiliada com eletrodomésticos"", decorada e reformada com alto padrão.  Detalhes do empreendimento:  1- Ar Condicionado Inverter em todos ambientes; 2- TV em todos os ambientes e quartos, Luz e Cortina com “automação”; 3- Iluminação planejada; 4- Armários Florense; 5- Banheiros com Louça e Metais DECA e Porta Toalha Aquecido; 6- Jacuzzi Suíte master com capacidade para 6 pessoas; 7- Internet Wi-Fi alta velocidade, alarme e câmera de segurança em todos ambientes; 8- Churrasqueira Gourmet com Adega, Chopeira e Cervejeira; 9- Cozinha planejada com eletrodomésticos novos alto padrão; 10- Área de Serviço com lavanderia equipada; 11- Solarium com Vista 180º de São Paulo;  Aquecedor Aquecimento central Ar condicionado Área de serviço Churrasqueira Closet Cozinha americana Cozinha Gourmet Cozinha independente Despensa Escritório Espaço Gourmet Hidromassagem Lareira Lavanderia Mobiliado Permite animais Sala de jantar Sistema de alarme Varanda Suítes  Áreas Comuns icon Áreas Comuns  Área de Lazer Bicicletário Câmeras de segurança   Elevador Portaria 24 horas Salão de festas Vigilância 24h   Ronaldo Grego Transações Imobiliárias CRECI 34255-J";370;4;6;2;4850000;2032;560;https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-churrasqueira-moema-zona-sul-sao-paulo-sp-370m2-id-2644515198/;Moema; São Paulo
Rua Comendador Miguel Calfat;Apartamento a venda na Vila Nova Conceição. *Características* 151 m² 2 quartos 4 banheiro Sala com 2 ambientes Lavanderia e dependências de empregada 2 vagas Ótimo estado Boa iluminação e ventilação natural  *Vantagens da Localização* Fácil acesso à qualquer região Parque Ibirapuera (20 min. caminhando) Supermercado, Padarias e Restaurantes próximos -;151;2;4;2;2127000;2200;8633;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-ar-condicionado-vila-nova-conceicao-zona-sul-sao-paulo-sp-151m2-id-2645534459/;Vila Nova Conceição; São Paulo
Avenida Nazaré;Cond. Square Nazaré - Rua Vieira de Almeida, 550 - Ipiranga  Apto. com: 84m² de área, com 3 dorms. porém está com 2 suites, lavabo, sala ampliada, cozinha planejada, sacada com vista para Av. nazaré e museu do Ipiranga e 2 vagas.  Cond. com Lazer: Piscina aquecida com 25m² de raia, Piscina climatizada, 2 Salões de jogos, 2 Salões de festas, 2 Churrasqueira, Coowork, Sauna, Cinema, Spa, quadra, Brinquedoteca e Academia.   Valor do Apto.: R$ 1.150.000,00 Valor do Cond: R$ 800,00 Valor do IPTU: R$ 353,00 mês de 2022 -;84;3;2;2;1150000;800;353;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-ipiranga-zona-sul-sao-paulo-sp-84m2-id-2645519074/;Ipiranga; São Paulo
Rua Moisés Abaid;Grande oportunidade de adquirir um apartamento dos sonhos!  Apresentamos um imóvel incrível, com todas as características que você procura e mais um pouco. Prepare-se para se encantar com este apartamento de 3 suítes, 3 salas, 4 banheiros, 2 vagas de garagem .  Ao entrar neste apartamento, você será recebido por um ambiente espaçoso e aconchegante. A sala de estar é perfeita para receber amigos e familiares, com espaço suficiente para acomodar confortavelmente todos os seus convidados. A sala de jantar é um convite para refeições agradáveis e momentos especiais.  A cozinha é um verdadeiro sonho de qualquer chef! Com armários planejados e uma bancada ampla, você terá espaço de sobra para preparar suas refeições favoritas. Além disso, o apartamento conta com uma área de serviço separada, garantindo praticidade e organização.  Os quartos são espaçosos e bem iluminados, proporcionando um ambiente relaxante para um sono tranquilo. Cada quarto possui uma suíte privativa, permitindo privacidade e conforto aos moradores. Os banheiros são modernos e bem equipados, com acabamentos de alta qualidade.  Localizado em um dos melhores bairros da cidade, este apartamento está próximo a uma ampla variedade de comércios, escolas e serviços. Além disso, a região conta com uma excelente infraestrutura de transporte público, facilitando seu deslocamento pela cidade.  Não perca a chance de adquirir este apartamento dos sonhos!  Fale conosco: -;163;3;4;2;1549000;1050;310;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-sao-bento-jundiai-sp-163m2-id-2645494508/;Jardim São Bento; Jundiaí
Rua São Sebastião;- apartamento à venda em americana sp - rua são sebastião, vila cariobinha - condomínio residencial vila carioba - centro comercial anexo aos prédios - região com excelente infraestrutura: - ( transportes, comércios, escolas) * apartamento pronto para morar* - acabamentos de 1ª qualidade - terraço panorâmico - privativo - 8 apartamentos por andar - 1 vaga livre e demarcada - 45 metros privativos - 65 metros total - 18 andares - 3 torres - 7º andar - interfone - gás encanado - banheiro social - 2 dormitórios amplo - sala para 2 ambientes - cozinha integrada à sala - hall de circulação interna - armários, acessórios no banheiro - molduras em todos os ambientes - sanca decorativa, 14 leed na sala - piso, 1ª qualidade nos dormitórios - porcelanato de 1ª qualidade na sala - porcelanato de 1ª qualidade no hall - 2 lustes classic E 14, 3 leed na sala - azulejos na cozinha, banheiro social - azulejos também na área de serviço - luminárias duplas de trilho em geral * áreas comuns do condomínio* - playground - brinquedoteca - elevador social - salão de jogos - sala de cinema - 2 salões de festas - elevador de serviço - jardins e paisagismo - vagas para visitantes - piscina adulto e infantil - 6 churrasqueiras cobertas - praça de lazer e convivência - permite-se animais de estimação - carrinho para uso dos moradores - portaria com monitoramento 24 hs - 3 quiosques de festa estilo colonial - portões entrada - saída de veículos - portões entrada-saída de pedestres - aceita fgts, financiamento bancário - ou financiamento, caixa econômica - visitas mediante agendamento;45;2;1;1;220000;252;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-parque-nova-carioba-americana-sp-45m2-id-2560349277/;Cariobinha; Americana
Alameda das Paineiras;Lote Bosque da Ribeira , área de 1.045m2, com leve declive ,100% utilizável, com vizinhança já definida, excelente localização e vista para as montanhas. Condomínio de luxo , bem próximo a Belo Horizonte com fácil acesso. Possui academia, quadra de tênis em saibro, quadra poliesportiva, playground, mirante e ruas com calçamento em PavS sendo bastante arborizado e com várias áreas verdes de preservação. Suas ruas com pouca movimentação de veículos permite caminhadas dentro do próprio condomínio e também as crianças brincarem nas ruas e no playground. Seu fornecimento de água provém principalmente de água do córrego do Canavial cujas nascentes preservadas dentro do condomínio fornece água pura a qual por segurança é tratada em ETA própria. Possui também um poço artesiano em implantação para suprimento de água suplementar. Possui portaria 24 horas com acesso exclusivo , segurança própria, vigilância 24 horas com motos e veículos e monitoramento com câmeras de segurança. O condomínio está localizado no Vale do Mutuca, perto dos Condomínios Vila Alpina, Estancia Serrana , Vila Del Rey e Vila Castela, e dos clubes Campestre e Serra Del Rey, sendo seu acesso realizado tanto pela BR 040 no do trevo dos Olhos D'Água, quanto pela MG 030 . Obs.: O valor deste imóvel poderá ser alterado sem aviso prévio. Por esta razão, consulte nossos consultores. Fotos institucionais do condomínio.  Somos uma empresa especializada em terrenos em condomínios de luxo na Zona Sul de BH. Conte com nossa assessoria para encontrar seu imóvel.;1045;0;0;0;1550000;360;2000;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-bosque-da-ribeira-nova-lima-mg-1045m2-id-2445683823/;Bosque da Ribeira; Nova Lima
Rua Itua;Lançamento em uma das melhores ruas do Jardim Guanabara. Casa Duplex com acabamento de alta qualidade, requinte e sofisticação.   - (1º piso) Concepção de ambientes integrados: sala em 2 ambientes, banheiro social, área de serviço, cozinha em conceito aberto e exclusiva área de lazer com piscina, banheiro de apoio e espaço gourmet.   - (2ºpiso) são 03 ótimas suítes: 01 suíte frontal com acesso varanda, 01 suíte tradicional e 01 suíte fundos voltada para área de lazer com varanda.  O terraço já estará preparado com capacidade para futuras ampliações. O imóvel possuirá 02 vagas internas cobertas (portões automatizados), cisterna com capacidade para 10 mil litros e 01 caixa d'água de 2,5 mil litros . Previsão de entrega no primeiro semestre de 2023.  Oportunidade exclusivíssima, entre em contato e agende sua visita para conhecer pessoalmente. A2Z4;135;3;1;2;1350000;100;1000;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-guanabara-ilha-do-governador-rio-de-janeiro-rj-135m2-id-2580099018/;Jardim Guanabara; Rio de Janeiro
Avenida Vieira de Carvalho;120 Metros 02 Banheiro Piso Frio  A localização do condomínio comercial é privilegiada, sendo próximo a diversos comércios, restaurantes e meios de transporte da região, edifício próximo às paradas de metros.  A área do condomínio possui:  Elevador Ar-condicionado Interfone Sistema de alarme  Agende uma visita conosco e confira!;120;0;2;0;420000;1100;0;https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-ar-condicionado-republica-centro-sao-paulo-sp-120m2-id-2644481985/;República; São Paulo
Não informado;ATENÇÃO! TERRENO COM ÓTIMA TOPOGRAFIA!!!  - Terreno a partir de 600 metros quadrados - Localizado no bairro Quatro Cantos/ Nazaré Paulista - Próximo ao posto de combustível - Próximo a Guarulhos, Mairiporã, Igaratá, Atibaia - Mercado perto - Poço artesiano - Portaria 24 horas - Aceito carro, moto, Jet Ski como parte de pagamento ou de entrada!!! - Documentação Ok!!!  AGENDE JÁ O SEU HORÁRIO !!!;600;0;0;0;39900;1;1;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-jardim-centro-nazare-paulista-sp-600m2-id-2641852007/;Nazaré Paulista;Nazaré Paulista
